profit,livingPeople,numberStore,workingPeople,movingPeople,rent,gu,region
6947487,377,3,684,46866,61.97619048,강남구,강남지역
6109551.667,397,3,138,10464,61.97619048,강남구,강남지역
6459622.5,3759,8,2146,33148,61.97619048,강남구,강남지역
27145106.83,4798,5,3846,87756,61.97619048,강남구,강남지역
10044828,991,1,1743,82253,61.97619048,강남구,강남지역
19886315.75,968,3,333,1984,61.97619048,강남구,강남지역
21897494,272,11,2652,44829,61.97619048,강남구,강남지역
4064946.6,2013,8,521,24261,61.97619048,강남구,강남지역
11756983,991,1,1743,84080,61.97619048,강남구,강남지역
13448461.67,38,4,103,15729,61.97619048,강남구,강남지역
6539642.444,1866,10,576,66944,61.97619048,강남구,강남지역
3781462.5,113,3,135,1531,61.97619048,강남구,강남지역
15780195.67,1946,4,286,53821,61.97619048,강남구,강남지역
31128865,968,1,333,1771,61.97619048,강남구,강남지역
6482609,877,1,270,1316,61.97619048,강남구,강남지역
10918264,3406,15,676,108591,61.97619048,강남구,강남지역
5886262.333,1866,9,576,56834,61.97619048,강남구,강남지역
2501007,2013,5,521,23137,61.97619048,강남구,강남지역
11723613.7,3406,17,676,103318,61.97619048,강남구,강남지역
3018312.667,1607,5,303,31219,61.97619048,강남구,강남지역
5941328,397,3,138,11732,61.97619048,강남구,강남지역
6878261,877,1,270,1304,61.97619048,강남구,강남지역
6480659.5,377,4,684,37941,61.97619048,강남구,강남지역
8001895.429,558,7,620,47079,61.97619048,강남구,강남지역
27044135,4798,4,3846,100208,61.97619048,강남구,강남지역
16591444,1946,4,286,38829,61.97619048,강남구,강남지역
8636543,558,8,620,44325,61.97619048,강남구,강남지역
6878261,877,1,270,1304,61.97619048,강남구,강남지역
23116020.5,573,4,11545,1595,61.97619048,강남구,강남지역
7385560.2,3759,7,2146,40078,61.97619048,강남구,강남지역
14896135.5,716,9,498,47378,61.97619048,강남구,강남지역
3326830,113,3,135,1747,61.97619048,강남구,강남지역
23718341,573,5,11545,1405,61.97619048,강남구,강남지역
3714405.333,1607,4,303,36526,61.97619048,강남구,강남지역
6482609,877,1,270,1316,61.97619048,강남구,강남지역
17859653.25,716,13,498,45210,61.97619048,강남구,강남지역
13431094.33,38,4,103,10434,61.97619048,강남구,강남지역
18692721.83,272,9,2652,42842,61.97619048,강남구,강남지역
3900659.5,1443,4,74,21771,43.13333333,강동구,기타지역
12152414.43,4011,10,903,149508,43.13333333,강동구,기타지역
5294803.5,1904,2,77,28761,43.13333333,강동구,기타지역
6815511.333,2558,4,792,186863,43.13333333,강동구,기타지역
12698629.89,7211,11,614,180931,43.13333333,강동구,기타지역
2990710.75,3197,4,399,38556,43.13333333,강동구,기타지역
3349885.75,670,5,168,18065,43.13333333,강동구,기타지역
8799185.5,1298,4,605,34144,43.13333333,강동구,기타지역
12008793.5,1704,9,112,69696,43.13333333,강동구,기타지역
8008462,1979,3,468,148308,43.13333333,강동구,기타지역
10412129.19,3655,23,4032,146022,43.13333333,강동구,기타지역
3028289,2545,3,135,36669,43.13333333,강동구,기타지역
9798385.077,4255,19,1052,94714,43.13333333,강동구,기타지역
3906274.5,670,4,168,18952,43.13333333,강동구,기타지역
7772308,1979,3,468,139069,43.13333333,강동구,기타지역
11493558.5,1704,8,112,68072,43.13333333,강동구,기타지역
9645493.538,4255,15,1052,98450,43.13333333,강동구,기타지역
5726335,6767,8,595,92401,43.13333333,강동구,기타지역
3331125,1186,4,111,75474,43.13333333,강동구,기타지역
3658371.5,1186,3,111,62628,43.13333333,강동구,기타지역
2939378.667,676,3,177,74136,43.13333333,강동구,기타지역
5910430.667,2558,4,792,131149,43.13333333,강동구,기타지역
6092766.5,1904,2,77,26997,43.13333333,강동구,기타지역
12557674.22,7211,17,614,185889,43.13333333,강동구,기타지역
5535934.4,1298,4,605,34009,43.13333333,강동구,기타지역
2842608.667,2545,3,135,38898,43.13333333,강동구,기타지역
11493558.5,1704,8,112,68072,43.13333333,강동구,기타지역
6462378.833,6767,6,595,92035,43.13333333,강동구,기타지역
10879154.67,3655,21,4032,151304,43.13333333,강동구,기타지역
4116122,1443,4,74,14218,43.13333333,강동구,기타지역
6552292,1408,4,48,25644,43.13333333,강동구,기타지역
5880118,1408,3,48,24019,43.13333333,강동구,기타지역
12008793.5,1704,9,112,69696,43.13333333,강동구,기타지역
3219728.5,3197,6,399,39321,43.13333333,강동구,기타지역
3019891.667,676,4,177,75733,43.13333333,강동구,기타지역
11962542.71,4011,7,903,149680,43.13333333,강동구,기타지역
2305161,1434,1,59,110653,59.66666667,강북구,기타지역
2494973.5,1015,5,37,38953,59.66666667,강북구,기타지역
3629235.5,1529,5,1923,119418,59.66666667,강북구,기타지역
8249554.875,2356,11,135,24594,59.66666667,강북구,기타지역
8732470.625,2356,14,135,21938,59.66666667,강북구,기타지역
8214357,1265,4,121,83217,59.66666667,강북구,기타지역
4420672,2782,5,104,32252,59.66666667,강북구,기타지역
12470000,3625,2,141,69483,59.66666667,강북구,기타지역
1973154,781,1,64,27841,59.66666667,강북구,기타지역
25812543.5,1977,4,275,131453,59.66666667,강북구,기타지역
8632984,924,3,318,40955,59.66666667,강북구,기타지역
4177989,1659,4,345,24818,59.66666667,강북구,기타지역
3656593,1305,4,459,6931,59.66666667,강북구,기타지역
5641915.5,2259,1,10,42084,59.66666667,강북구,기타지역
7811148.111,4927,15,383,134639,59.66666667,강북구,기타지역
8249554.875,2356,11,135,24594,59.66666667,강북구,기타지역
3762911,2547,4,234,72125,59.66666667,강북구,기타지역
356886,2825,1,118,37480,59.66666667,강북구,기타지역
4420672,2782,5,104,32252,59.66666667,강북구,기타지역
