상권코드명,상권코드,기준년월코드,서비스업종코드.x,서비스업종코드명.x,평균영업개월수,X1년이하생존율,X1.2년생존율,X2.3년생존율,X3.5년생존율,X5년이상생존율,당월매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수.x,총상주인구수,남성상주인구수,여성상주인구수,연령대10상주인구수,연령대20상주인구수,연령대30상주인구수,연령대40상주인구수,연령대50상주인구수,연령대60이상상주인구수,서비스업종코드.y,서비스업종코드명.y,점포수.y,유사업종점포수,총직장인구수,남성직장인구수,여성직장인구수,연령대10직장인구수,연령대20직장인구수,연령대30직장인구수,연령대40직장인구수,연령대50직장인구수,연령대60이상직장인구수,총유동인구수,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수,구
가락로16길,1,201803,CS100009,커피음료,4,50,0,0,0,0,2080368,824495,962933,0,510648,329737,273108,497369,176567,1,599,302,297,72,91,99,90,110,137,CS100009,커피음료,1,1,844,488,356,2,62,117,143,189,331,2457,1303,1155,8,256,432,526,802,433,송파구
가락로28길,2,201803,CS100009,커피음료,16,0,0,0,0,0,4882174,3108392,1526940,132803,1992524,925969.5,639043,580417.5,364575,2,293,127,166,51,38,45,49,48,62,CS100009,커피음료,1,1,156,69,87,0,16,32,52,43,13,30835,14976,15859,2992,5451,5364,5447,6248,5332,송파구
가락로36길,3,201803,CS100009,커피음료,359,100,100,100,0,0,4388431.167,2394175,1729737.333,127182.8333,957973.8333,821631,1835938.167,295393.1667,85793.83333,6,2188,1110,1078,441,295,402,450,294,306,CS100009,커피음료,4,5,347,203,144,5,45,68,80,88,61,27974,14046,13928,3889,5457,5760,4574,4454,3841,송파구
가로공원로76길,4,201803,CS100009,커피음료,163,100,100,50,50,50,10125621,3379584.6,6169163.6,146673.8,2530123.2,3022440.6,2467147.6,1002720.2,379643.4,5,2043,969,1074,339,270,395,317,302,420,CS100009,커피음료,3,6,222,111,111,9,31,49,54,47,32,48645,23449,25195,2925,9085,10396,8884,9127,8227,강서구
가마산로61길,7,201803,CS100009,커피음료,15,0,0,0,0,0,4533058,1922085,2610973,51029,858985,1896570,1194924,437997,93553,1,1362,702,660,165,211,154,221,269,342,CS100009,커피음료,1,1,39,30,9,0,4,9,6,14,6,35167,17910,17257,1477,7906,6303,7608,7855,4018,영등포구
가마산로88길,8,201803,CS100009,커피음료,24,0,0,0,0,0,1855458,956240,616096,0,330867,512232,492497,163506,73235,1,322,159,163,24,57,71,45,59,66,CS100009,커피음료,1,1,236,131,105,2,25,47,52,60,50,21970,12207,9763,2776,3805,3312,3992,4563,3522,영등포구
가마산로89길,9,201803,CS100009,커피음료,45,0,0,0,0,0,13901579,5829901.5,6912006.5,379276.5,3096612,2933092,2634473.5,2859967,838487,2,307,155,152,31,71,48,48,48,61,CS100009,커피음료,2,3,148,77,71,0,7,11,22,39,69,22056,10860,11196,2116,4579,3575,4225,4286,3275,영등포구
가산로3길,10,201803,CS100009,커피음료,55,0,0,0,0,0,2654717,1145167,1287954.6,18918.6,652326.4,1042022.6,271426.2,311512.4,136915.2,5,2945,1760,1185,185,769,932,438,322,299,CS100009,커피음료,8,8,2402,1900,502,14,319,553,651,611,254,45162,26913,18249,91,13084,12259,7992,7959,3779,금천구
가산로3길,10,201803,CS100009,커피음료,55,0,0,0,0,0,2654717,1145167,1287954.6,18918.6,652326.4,1042022.6,271426.2,311512.4,136915.2,5,2945,1760,1185,185,769,932,438,322,299,CS100009,커피음료,8,8,2402,1900,502,14,319,553,651,611,254,45162,26913,18249,91,13084,12259,7992,7959,3779,금천구
가산로5길,11,201803,CS100009,커피음료,148.5,0,0,0,0,0,4476067.667,2185394.167,1928928.333,73172,1535805,1309933.833,656846.6667,432626.8333,105938.1667,6,1685,1002,683,136,432,453,220,218,226,CS100009,커피음료,5,5,539,389,150,7,71,137,164,109,51,20736,12525,8210,49,6647,5890,3161,3628,1361,금천구
가산로5길,11,201803,CS100009,커피음료,148.5,0,0,0,0,0,4476067.667,2185394.167,1928928.333,73172,1535805,1309933.833,656846.6667,432626.8333,105938.1667,6,1685,1002,683,136,432,453,220,218,226,CS100009,커피음료,5,5,539,389,150,7,71,137,164,109,51,20736,12525,8210,49,6647,5890,3161,3628,1361,금천구
가재울로14길,13,201803,CS100009,커피음료,5,0,0,0,0,0,2532036,666824,1286238,0,112713,278541,1090242,409234,62334,1,433,207,226,54,65,56,61,79,118,CS100009,커피음료,2,2,56,35,21,0,5,11,18,17,5,1709,1692,17,0,9,174,536,607,384,서대문구
가재울로4길,14,201803,CS100009,커피음료,116,100,100,100,0,0,4639073,92715,43046,0,0,62914,0,33113,39735,1,1043,509,534,138,155,141,175,155,279,CS100009,커피음료,1,1,54,37,17,0,6,9,20,9,10,37570,20663,16907,2218,9115,6579,6829,7297,5531,서대문구
가재울로6길,15,201803,CS100009,커피음료,2,100,100,100,0,0,514706,450981,63725,0,88235,308824,117647,0,0,1,1274,655,619,176,170,188,211,193,336,CS100009,커피음료,2,2,66,28,38,0,8,11,20,12,15,57060,31304,25756,4289,14312,9521,10312,10415,8209,서대문구
가좌로6길,17,201803,CS100009,커피음료,26,0,0,0,0,0,4374802.5,2234932.5,2139870,261828.5,625076.5,1302898.5,1213468.5,208310,763220.5,2,1352,666,686,182,187,154,191,272,366,CS100009,커피음료,2,2,136,76,60,1,6,18,36,52,23,42737,22282,20454,4911,6556,9507,8299,6824,6639,은평구
가좌로7길,18,201803,CS100009,커피음료,173,0,0,0,0,0,4018781.667,1669426.333,1926340.333,129904,1267371,1006721,836643,273773,81354.33333,3,2475,1257,1218,324,335,276,395,442,703,CS100009,커피음료,4,4,184,109,75,0,19,54,46,41,24,106843,53983,52860,12464,17529,22460,19246,18634,16510,은평구
가좌로7다길,19,201803,CS100009,커피음료,34,0,0,0,0,0,582734,147482,215827,0,25180,28777,79137,187050,43165,1,2906,1438,1468,398,383,336,468,498,823,CS100009,커피음료,1,1,49,24,25,0,3,17,16,11,2,68446,34665,33781,8583,12554,13789,12044,11896,9581,은평구
가좌로9길,20,201803,CS100009,커피음료,53,100,100,100,100,100,9119735,3411533,5708202,76995.5,4152147,2538275.5,900418.5,1201493,250405.5,2,1665,802,863,185,227,317,274,265,397,CS100009,커피음료,4,4,106,42,64,1,16,15,38,20,16,46336,23852,22485,3212,9528,8607,8335,9063,7592,은평구
갈현로1길,21,201803,CS100009,커피음료,30,0,0,0,0,0,24757971,12460916,12297055,442949,4491586,9370752,7634874,2349422,468388,1,2242,1085,1157,383,291,362,401,352,453,CS100009,커피음료,2,2,77,22,55,0,8,13,14,21,21,38587,18717,19870,3145,7135,8054,6558,7576,6119,은평구
갈현로23길,22,201803,CS100009,커피음료,42,0,0,0,0,0,2819125,1077434,1531288,117130,404425,1110790,391052,420631,164694,1,3528,1693,1835,597,469,564,583,594,721,CS100009,커피음료,1,1,63,17,46,0,6,8,14,12,23,21290,8485,12806,7303,2910,3357,2901,2855,1965,은평구
