"상권코드","기준년월코드","상권코드명","서비스업종코드.x","서비스업종코드명.x","평균영업개월수","X1년이하생존율","X1.2년생존율","X2.3년생존율","X3.5년생존율","X5년이상생존율","당월매출금액","남성매출비율","여성매출비율","연령대10매출비율","연령대20매출비율","연령대30매출비율","연령대40매출비율","연령대50매출비율","연령대60이상매출비율","남성매출금액","여성매출금액","연령대10매출금액","연령대20매출금액","연령대30매출금액","연령대40매출금액","연령대50매출금액","연령대60이상매출금액","점포수.x","총상주인구수","남성상주인구수","여성상주인구수","연령대10상주인구수","연령대20상주인구수","연령대30상주인구수","연령대40상주인구수","연령대50상주인구수","연령대60이상상주인구수","서비스업종코드.y","서비스업종코드명.y","점포수.y","유사업종점포수","총직장인구수","남성직장인구수","여성직장인구수","연령대10직장인구수","연령대20직장인구수","연령대30직장인구수","연령대40직장인구수","연령대50직장인구수","연령대60이상직장인구수","총유동인구수","남성유동인구수","여성유동인구수","연령대10유동인구수","연령대20유동인구수","연령대30유동인구수","연령대40유동인구수","연령대50유동인구수","연령대60이상유동인구수"
1,201803,"가락로16길","CS100009","커피음료",4,50,0,0,0,0,2080368,47.9,52.1,0,32.9,17.3,14.4,28.9,6.5,824495,962933,0,510648,329737,273108,497369,176567,1,599,302,297,72,91,99,90,110,137,"CS100009","커피음료",1,1,844,488,356,2,62,117,143,189,331,2457,1303,1155,8,256,432,526,802,433
2,201803,"가락로28길","CS100009","커피음료",16,0,0,0,0,0,9764348,67.9,32.1,5.8,44.6,19.8,13.4,9.5,6.9,6216784,3053880,265606,3985048,1851939,1278086,1160835,729150,2,293,127,166,51,38,45,49,48,62,"CS100009","커피음료",1,1,156,69,87,0,16,32,52,43,13,30835,14976,15859,2992,5451,5364,5447,6248,5332
3,201803,"가락로36길","CS100009","커피음료",359,100,100,100,0,0,26330587,47.8,52.2,5.1,33.3,28.3,21.3,9.7,2.5,14365050,10378424,763097,5747843,4929786,11015629,1772359,514763,6,2188,1110,1078,441,295,402,450,294,306,"CS100009","커피음료",4,5,347,203,144,5,45,68,80,88,61,27974,14046,13928,3889,5457,5760,4574,4454,3841
4,201803,"가로공원로76길","CS100009","커피음료",163,100,100,50,50,50,50628105,34.9,65.1,2.2,27.9,33.8,24.1,8.9,3.1,16897923,30845818,733369,12650616,15112203,12335738,5013601,1898217,5,2043,969,1074,339,270,395,317,302,420,"CS100009","커피음료",3,6,222,111,111,9,31,49,54,47,32,48645,23449,25195,2925,9085,10396,8884,9127,8227
7,201803,"가마산로61길","CS100009","커피음료",15,0,0,0,0,0,4533058,42.1,57.9,0.9,21,49,18,8.9,2.1,1922085,2610973,51029,858985,1896570,1194924,437997,93553,1,1362,702,660,165,211,154,221,269,342,"CS100009","커피음료",1,1,39,30,9,0,4,9,6,14,6,35167,17910,17257,1477,7906,6303,7608,7855,4018
8,201803,"가마산로88길","CS100009","커피음료",24,0,0,0,0,0,1855458,64,36,0,17.3,35.8,39.4,3.6,3.9,956240,616096,0,330867,512232,492497,163506,73235,1,322,159,163,24,57,71,45,59,66,"CS100009","커피음료",1,1,236,131,105,2,25,47,52,60,50,21970,12207,9763,2776,3805,3312,3992,4563,3522
9,201803,"가마산로89길","CS100009","커피음료",45,0,0,0,0,0,27803158,45.6,54.4,3,28,28.8,17.2,17.9,5.2,11659803,13824013,758553,6193224,5866184,5268947,5719934,1676974,2,307,155,152,31,71,48,48,48,61,"CS100009","커피음료",2,3,148,77,71,0,7,11,22,39,69,22056,10860,11196,2116,4579,3575,4225,4286,3275
10,201803,"가산로3길","CS100009","커피음료",55,0,0,0,0,0,13273585,48.1,51.9,0.4,28.5,40.1,12.1,12.4,6.5,5725835,6439773,94593,3261632,5210113,1357131,1557562,684576,5,2945,1760,1185,185,769,932,438,322,299,"CS100009","커피음료",8,8,2402,1900,502,14,319,553,651,611,254,45162,26913,18249,91,13084,12259,7992,7959,3779
11,201803,"가산로5길","CS100009","커피음료",148.5,0,0,0,0,0,26856406,53.6,46.4,1.5,39.8,31.4,15.8,8.1,3.3,13112365,11573570,439032,9214830,7859603,3941080,2595761,635629,6,1685,1002,683,136,432,453,220,218,226,"CS100009","커피음료",5,5,539,389,150,7,71,137,164,109,51,20736,12525,8210,49,6647,5890,3161,3628,1361
13,201803,"가재울로14길","CS100009","커피음료",5,0,0,0,0,0,2532036,36.5,63.5,0,9.1,28.8,34.7,24.2,3.2,666824,1286238,0,112713,278541,1090242,409234,62334,1,433,207,226,54,65,56,61,79,118,"CS100009","커피음료",2,2,56,35,21,0,5,11,18,17,5,1709,1692,17,0,9,174,536,607,384
14,201803,"가재울로4길","CS100009","커피음료",116,100,100,100,0,0,4639073,74.1,25.9,0,0,48.1,0,25.9,25.9,92715,43046,0,0,62914,0,33113,39735,1,1043,509,534,138,155,141,175,155,279,"CS100009","커피음료",1,1,54,37,17,0,6,9,20,9,10,37570,20663,16907,2218,9115,6579,6829,7297,5531
15,201803,"가재울로6길","CS100009","커피음료",2,100,100,100,0,0,514706,82.8,17.2,0,17.2,65.5,17.2,0,0,450981,63725,0,88235,308824,117647,0,0,1,1274,655,619,176,170,188,211,193,336,"CS100009","커피음료",2,2,66,28,38,0,8,11,20,12,15,57060,31304,25756,4289,14312,9521,10312,10415,8209
17,201803,"가좌로6길","CS100009","커피음료",26,0,0,0,0,0,8749605,51.6,48.4,9.2,17,29,22.9,6.1,15.7,4469865,4279740,523657,1250153,2605797,2426937,416620,1526441,2,1352,666,686,182,187,154,191,272,366,"CS100009","커피음료",2,2,136,76,60,1,6,18,36,52,23,42737,22282,20454,4911,6556,9507,8299,6824,6639
18,201803,"가좌로7길","CS100009","커피음료",173,0,0,0,0,0,12056345,44.6,55.4,4.8,30.3,28,24.4,10.4,2.1,5008279,5779021,389712,3802113,3020163,2509929,821319,244063,3,2475,1257,1218,324,335,276,395,442,703,"CS100009","커피음료",4,4,184,109,75,0,19,54,46,41,24,106843,53983,52860,12464,17529,22460,19246,18634,16510
19,201803,"가좌로7다길","CS100009","커피음료",34,0,0,0,0,0,582734,30.6,69.4,0,9.9,9.9,9.9,60.6,9.9,147482,215827,0,25180,28777,79137,187050,43165,1,2906,1438,1468,398,383,336,468,498,823,"CS100009","커피음료",1,1,49,24,25,0,3,17,16,11,2,68446,34665,33781,8583,12554,13789,12044,11896,9581
20,201803,"가좌로9길","CS100009","커피음료",53,100,100,100,100,100,18239470,40.1,59.9,1.1,46.5,27.4,9.7,12.5,2.8,6823066,11416404,153991,8304294,5076551,1800837,2402986,500811,2,1665,802,863,185,227,317,274,265,397,"CS100009","커피음료",4,4,106,42,64,1,16,15,38,20,16,46336,23852,22485,3212,9528,8607,8335,9063,7592
21,201803,"갈현로1길","CS100009","커피음료",30,0,0,0,0,0,24757971,54.1,45.9,2,18.7,37.9,30,9.9,1.6,12460916,12297055,442949,4491586,9370752,7634874,2349422,468388,1,2242,1085,1157,383,291,362,401,352,453,"CS100009","커피음료",2,2,77,22,55,0,8,13,14,21,21,38587,18717,19870,3145,7135,8054,6558,7576,6119
22,201803,"갈현로23길","CS100009","커피음료",42,0,0,0,0,0,2819125,40.1,59.9,4,18.3,42,18.9,12.9,4,1077434,1531288,117130,404425,1110790,391052,420631,164694,1,3528,1693,1835,597,469,564,583,594,721,"CS100009","커피음료",1,1,63,17,46,0,6,8,14,12,23,21290,8485,12806,7303,2910,3357,2901,2855,1965
23,201803,"갈현로29길","CS100009","커피음료",27,0,0,0,0,0,24923164,36.4,63.6,5.5,27.4,27.8,30.8,5.9,2.7,9471786,15451378,972535,6357790,6122654,9148269,1810438,511478,2,3309,1605,1704,632,473,439,557,575,633,"CS100009","커피음료",2,2,94,37,57,0,5,16,34,19,20,40250,18091,22159,12059,6287,6815,5928,5109,4051
24,201803,"갈현로33길","CS100009","커피음료",29,0,0,0,0,0,6808742,44.5,55.5,0.6,26.8,41.6,25.4,4.5,1.1,2950046,3858696,29246,1672488,2456847,2211466,393496,45199,2,3430,1709,1721,596,519,505,567,576,667,"CS100009","커피음료",4,4,82,30,52,0,18,15,32,16,1,72888,33132,39756,21967,11905,9860,9691,10206,9260
26,201803,"갈현로3길","CS100009","커피음료",14,0,0,0,0,0,643077,42.7,57.3,0,10.7,41.7,21.4,10.7,15.5,231172,411905,0,46760,231172,162870,49912,152363,1,2761,1355,1406,494,331,457,486,424,569,"CS100009","커피음료",2,2,83,38,45,2,18,17,21,20,5,34317,16386,17931,2922,6072,6975,6131,6917,5300
27,201803,"갈현로41길","CS100009","커피음료",137,0,0,0,0,0,30716564,33.7,66.3,3,26,23.9,24.2,14,9,10500050,20216514,643134,7150271,6634148,7839757,5352510,3096744,2,2864,1435,1429,373,423,348,418,509,793,"CS100009","커피음료",1,1,102,33,69,0,11,19,26,33,13,18084,8166,9918,1166,6060,2788,2511,3095,2463
29,201803,"갈현로4길","CS100009","커피음료",41,0,0,0,0,0,15959428,37.1,62.9,0.7,22.7,30.8,28.7,13.9,3.3,3746612,12212816,87089,1972464,3083632,2896013,1456529,6463701,3,3905,1855,2050,700,510,663,665,568,799,"CS100009","커피음료",4,4,176,78,98,0,28,37,55,33,23,93219,43601,49618,10301,19334,18473,16701,15883,12527
30,201803,"강남대로107길","CS100009","커피음료",16,0,0,0,0,0,17093093,42.5,57.5,3.6,43.8,25.3,14.3,8.6,4.3,6521151,7560432,471942,5653957,3510072,2080575,1578417,786619,2,148,71,77,10,34,36,21,22,25,"CS100009","커피음료",2,2,713,501,212,23,181,252,158,67,32,9464,5095,4369,421,2396,2333,1933,1361,1020
