상권코드명,유사업종점포수,평균영업개월수,당월매출금액,남성매출비율,여성매출비율,연령대10매출비율,연령대20매출비율,연령대30매출비율,연령대40매출비율,연령대50매출비율,연령대60이상매출비율,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액
가락로16길,1,4,2080368,47.9,52.1,0,32.9,17.3,14.4,28.9,6.5,824495,962933,0,510648,329737,273108,497369,176567
가락로28길,1,16,9764348,67.9,32.1,5.8,44.6,19.8,13.4,9.5,6.9,6216784,3053880,265606,3985048,1851939,1278086,1160835,729150
가락로36길,5,359,26330587,47.8,52.2,5.1,33.3,28.3,21.3,9.7,2.5,14365050,10378424,763097,5747843,4929786,11015629,1772359,514763
가로공원로76길,6,163,50628105,34.9,65.1,2.2,27.9,33.8,24.1,8.9,3.1,16897923,30845818,733369,12650616,15112203,12335738,5013601,1898217
가마산로61길,1,15,4533058,42.1,57.9,0.9,21,49,18,8.9,2.1,1922085,2610973,51029,858985,1896570,1194924,437997,93553
가마산로88길,1,24,1855458,64,36,0,17.3,35.8,39.4,3.6,3.9,956240,616096,0,330867,512232,492497,163506,73235
가마산로89길,3,45,27803158,45.6,54.4,3,28,28.8,17.2,17.9,5.2,11659803,13824013,758553,6193224,5866184,5268947,5719934,1676974
가산로3길,8,55,13273585,48.1,51.9,0.4,28.5,40.1,12.1,12.4,6.5,5725835,6439773,94593,3261632,5210113,1357131,1557562,684576
가산로5길,5,148.5,26856406,53.6,46.4,1.5,39.8,31.4,15.8,8.1,3.3,13112365,11573570,439032,9214830,7859603,3941080,2595761,635629
가재울로14길,2,5,2532036,36.5,63.5,0,9.1,28.8,34.7,24.2,3.2,666824,1286238,0,112713,278541,1090242,409234,62334
가재울로4길,1,116,4639073,74.1,25.9,0,0,48.1,0,25.9,25.9,92715,43046,0,0,62914,0,33113,39735
가재울로6길,2,2,514706,82.8,17.2,0,17.2,65.5,17.2,0,0,450981,63725,0,88235,308824,117647,0,0
가좌로6길,2,26,8749605,51.6,48.4,9.2,17,29,22.9,6.1,15.7,4469865,4279740,523657,1250153,2605797,2426937,416620,1526441
가좌로7길,4,173,12056345,44.6,55.4,4.8,30.3,28,24.4,10.4,2.1,5008279,5779021,389712,3802113,3020163,2509929,821319,244063
가좌로7다길,1,34,582734,30.6,69.4,0,9.9,9.9,9.9,60.6,9.9,147482,215827,0,25180,28777,79137,187050,43165
가좌로9길,4,53,18239470,40.1,59.9,1.1,46.5,27.4,9.7,12.5,2.8,6823066,11416404,153991,8304294,5076551,1800837,2402986,500811
갈현로1길,2,30,24757971,54.1,45.9,2,18.7,37.9,30,9.9,1.6,12460916,12297055,442949,4491586,9370752,7634874,2349422,468388
갈현로23길,1,42,2819125,40.1,59.9,4,18.3,42,18.9,12.9,4,1077434,1531288,117130,404425,1110790,391052,420631,164694
갈현로29길,2,27,24923164,36.4,63.6,5.5,27.4,27.8,30.8,5.9,2.7,9471786,15451378,972535,6357790,6122654,9148269,1810438,511478
갈현로33길,4,29,6808742,44.5,55.5,0.6,26.8,41.6,25.4,4.5,1.1,2950046,3858696,29246,1672488,2456847,2211466,393496,45199
갈현로3길,2,14,643077,42.7,57.3,0,10.7,41.7,21.4,10.7,15.5,231172,411905,0,46760,231172,162870,49912,152363
갈현로41길,1,137,30716564,33.7,66.3,3,26,23.9,24.2,14,9,10500050,20216514,643134,7150271,6634148,7839757,5352510,3096744
갈현로4길,4,41,15959428,37.1,62.9,0.7,22.7,30.8,28.7,13.9,3.3,3746612,12212816,87089,1972464,3083632,2896013,1456529,6463701
강남대로107길,2,16,17093093,42.5,57.5,3.6,43.8,25.3,14.3,8.6,4.3,6521151,7560432,471942,5653957,3510072,2080575,1578417,786619
강남대로83길,5,60.5,15699205,53.3,46.7,2,45.8,30.6,12.9,6.5,2.3,5921505,6813407,137795,5108975,4650172,1808660,752995,276316
강남대로89길,2,10,9791060,42.9,57.1,0.9,44.4,29.3,15.1,7.9,2.4,4036436,4007636,58662,2917984,2433829,1536818,871883,224898
강남대로8길,19,370.5,84752217,49.5,50.5,0.4,26.4,37.2,21.7,9.1,5.2,33529182,31533383,416359,15910076,23577222,15920393,6438201,2800315
강동대로9길,5,129,13191925,43,57,0.4,28,35.4,19.9,11.2,5.1,5109448,6667260,20081,3365221,3963380,2529575,1337870,560580
강서로17다길,5,75,64078475,37.1,62.9,3,31.1,34.1,20.8,8.1,3,22867260,37507668,1623714,17454463,19808142,13303040,5881490,2304080
강서로18길,4,83,10385346,48.5,51.5,3.5,32.6,25.6,19.6,14.9,3.7,4156316,5523724,662844,3975996,2285961,1500044,981441,273755
강서로18다길,3,41,7790678,36.1,63.9,0.7,28.6,44.4,18,6.7,1.5,2498305,4462712,101695,1954237,2946610,1292373,542373,123729
강서로39길,3,139,14089597,48.1,51.9,1.7,43,21.5,14.3,13.1,6.4,6966833,6243902,124390,4639024,2685366,2516260,2287530,958164
강서로45길,11,438,146988760,39,61,7.1,28.6,24.5,25.4,10.9,3.6,52882871,86353787,8596840,37650057,33784663,37330050,16111557,5763496
