상권코드명,총상주인구수,남성상주인구수,여성상주인구수,연령대10상주인구수,연령대20상주인구수,연령대30상주인구수,연령대40상주인구수,연령대50상주인구수,연령대60이상상주인구수
가락로16길,599,302,297,72,91,99,90,110,137
가락로28길,293,127,166,51,38,45,49,48,62
가락로36길,2188,1110,1078,441,295,402,450,294,306
가로공원로76길,2043,969,1074,339,270,395,317,302,420
가마산로61길,1362,702,660,165,211,154,221,269,342
가마산로88길,322,159,163,24,57,71,45,59,66
가마산로89길,307,155,152,31,71,48,48,48,61
가산로3길,2945,1760,1185,185,769,932,438,322,299
가산로5길,1685,1002,683,136,432,453,220,218,226
가재울로14길,433,207,226,54,65,56,61,79,118
가재울로4길,1043,509,534,138,155,141,175,155,279
가재울로6길,1274,655,619,176,170,188,211,193,336
가좌로6길,1352,666,686,182,187,154,191,272,366
가좌로7길,2475,1257,1218,324,335,276,395,442,703
가좌로7다길,2906,1438,1468,398,383,336,468,498,823
가좌로9길,1665,802,863,185,227,317,274,265,397
갈현로1길,2242,1085,1157,383,291,362,401,352,453
갈현로23길,3528,1693,1835,597,469,564,583,594,721
갈현로29길,3309,1605,1704,632,473,439,557,575,633
갈현로33길,3430,1709,1721,596,519,505,567,576,667
갈현로3길,2761,1355,1406,494,331,457,486,424,569
갈현로41길,2864,1435,1429,373,423,348,418,509,793
갈현로4길,3905,1855,2050,700,510,663,665,568,799
강남대로107길,148,71,77,10,34,36,21,22,25
강남대로83길,1141,515,626,66,246,338,172,138,181
강남대로89길,152,79,73,11,18,38,35,25,25
강남대로8길,6807,3353,3454,961,1095,1540,1113,972,1126
강동대로9길,536,260,276,79,84,110,80,76,107
강서로17다길,7629,3772,3857,1037,1149,1589,1114,1232,1508
강서로18길,7462,3641,3821,1233,1075,1454,1273,1008,1419
강서로18다길,1181,546,635,151,144,239,194,175,278
강서로39길,563,317,246,56,77,76,93,114,147
강서로45길,2935,1425,1510,612,419,448,517,439,500
강서로47가길,991,486,505,197,146,127,185,175,161
강서로47길,2583,1220,1363,506,365,342,491,434,445
강서로48길,1150,543,607,263,160,153,229,180,165
강서로74길,224,120,104,28,36,71,38,21,30
강서로8길,4856,2345,2511,669,652,967,716,762,1090
개봉로2길,2591,1240,1351,446,323,481,405,379,557
개봉로3길,8859,4342,4517,1415,1173,1410,1473,1435,1953
개포로109길,573,273,300,86,69,152,90,90,86
개포로82길,38,28,10,0,5,12,8,7,6
거북골로16길,550,290,260,72,76,66,85,104,147
거북골로20길,2557,1214,1343,391,349,378,427,422,590
경기대로9길,625,319,306,78,121,85,98,106,137
