상권코드명,총유동인구수,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수
가락로16길,1312,906,405,1,189,223,285,400,213
가락로28길,31355,15201,16154,3270,5794,5204,5058,6430,5599
가락로36길,25511,13348,12162,3143,4640,5121,4443,4391,3772
가로공원로76길,44650,21443,23207,2525,7319,9427,8585,8848,7946
가마산로61길,42027,21468,20559,2329,9956,7706,8031,9340,4665
가마산로88길,18802,11206,7596,2030,3483,3002,3444,3765,3079
가마산로89길,20544,10249,10295,2131,4210,3280,3893,3967,3063
가산로3길,40807,24473,16334,132,12379,10515,7455,6567,3759
가산로5길,18890,11720,7170,35,6270,5287,2986,2974,1338
가재울로14길,973,973,0,0,5,141,272,450,104
가재울로4길,36123,19658,16465,1632,7524,7448,6859,6501,6159
가재울로6길,52249,28762,23487,3204,11707,9831,9512,9427,8569
가좌로6길,41507,21893,19614,4882,5809,8770,8122,7338,6586
가좌로7길,105258,51705,53553,12040,16678,21523,18963,19285,16769
가좌로7다길,66656,31696,34960,7357,12534,13600,11497,11394,10273
가좌로9길,46392,23829,22563,3030,9998,8150,8339,9123,7753
갈현로1길,31398,15420,15978,1440,5550,7466,5637,5429,5877
갈현로23길,18547,7919,10628,5045,2785,2964,2990,2531,2231
갈현로29길,33315,14091,19224,7213,5203,5767,5891,5008,4232
갈현로33길,59180,26007,33172,13992,9193,8864,9128,9075,8929
갈현로3길,28061,13931,14130,1277,3937,6915,5034,5238,5661
갈현로41길,16032,8428,7604,946,5185,2906,2298,2163,2533
갈현로4길,116809,55513,61297,11430,23478,22505,21717,21026,16654
강남대로107길,8523,4448,4075,361,2194,2214,1761,1154,840
강남대로83길,16272,9241,7031,141,5925,4983,2323,1516,1384
강남대로89길,73017,36637,36380,3683,27054,19995,11035,6326,4925
강남대로8길,158932,93712,65220,3733,29341,42516,33265,29139,20938
강동대로9길,16497,8097,8400,1049,2511,3518,3252,3081,3086
강서로17다길,92829,44758,48072,3786,16916,22402,15884,16977,16863
강서로18길,54532,24926,29605,1896,12816,13503,10342,7957,8018
강서로18다길,31923,15679,16244,1610,7031,7817,5669,5216,4580
강서로39길,35902,17072,18830,2410,7958,7301,5525,6674,6034
강서로45길,73188,31740,41448,11475,12211,13362,14642,11467,10030
강서로47가길,25005,10767,14238,4150,3530,4016,5374,4682,3254
강서로47길,38195,17105,21091,6226,6054,6539,8403,6359,4614
강서로48길,29147,13730,15417,5577,4594,4699,5589,4736,3952
강서로74길,5004,2733,2270,210,1876,1318,632,645,323
강서로8길,143515,73426,70089,8965,28207,32679,26216,25655,21792
개봉로2길,32633,16206,16427,2326,4898,6408,6276,6478,6248
개봉로3길,59376,31171,28205,4350,8354,13186,11525,11707,10252
개포로109길,1405,790,614,44,166,252,310,375,257
개포로82길,10434,5127,5306,871,1633,1527,1974,2428,2001
거북골로16길,19648,9206,10442,1140,3470,3818,3848,3711,3661
거북골로20길,89241,44531,44710,9364,15395,15714,16532,16756,15481
경기대로9길,53304,27000,26304,5742,18713,8789,8106,6681,5273
경인로22길,58675,29292,29383,3780,15510,14103,8144,8157,8981
경인로35길,36624,18606,18018,1839,6656,6301,6438,8338,7051
경인로40길,16153,7732,8421,1132,3486,3344,2712,2934,2545
경인로47길,95470,57817,37653,18245,35616,11950,11522,10445,7692
경인로47다길,11427,6047,5380,812,2620,1801,2026,1878,2290
경인로59길,34974,15984,18990,2353,6326,8586,7154,6352,4203
경희대로1길,31191,15109,16082,4003,16035,3996,2896,2390,1871
경희대로3길,20190,9398,10793,1593,6785,3129,2717,2778,3189
경희대로4길,101558,47863,53695,13996,53030,12090,8975,7505,5963
경희대로6길,242927,106853,136075,40116,119056,24622,23058,17945,18129
고덕로10길,25644,14109,11535,1338,4774,5958,5201,4747,3626
고산자로14길,80675,37542,43133,4008,28588,17987,12247,11006,6840
고산자로16길,16943,8653,8290,734,6022,3367,2566,2569,1685
고산자로2길,3530,1655,1876,190,694,769,864,518,495
고산자로31길,11844,5867,5977,961,3650,2136,1718,1787,1592
고산자로6길,36167,17938,18230,2951,7277,8563,6556,5617,5202
고산자로8나길,130377,68914,61463,11680,40609,23616,19565,18912,15995
고척로21나길,7983,3092,4891,180,1160,1407,1465,2424,1347
고척로27길,65333,33644,31690,4468,12120,11517,13584,13131,10514
고척로33길,26145,13384,12761,1842,5055,4665,5332,5333,3919
고척로52길,32672,17981,14691,1427,7080,5974,5917,5694,6580
곰달래로31가길,37436,16496,20940,2869,7237,9019,7009,6002,5299
곰달래로31길,178153,84209,93943,11282,43314,41552,29889,26213,25903
곰달래로35길,35906,15182,20724,1123,7944,10111,7595,4287,4846
곰달래로60길,28523,14689,13834,2093,6393,5718,5307,5102,3911
공릉로12가길,16060,9044,7016,2186,3936,2145,3090,2811,1891
공릉로12길,30612,15464,15149,1017,4560,5881,5946,7287,5921
공릉로2길,34917,16931,17986,2367,5751,7195,6465,6300,6840
공릉로34길,53877,28558,25319,4853,16902,9583,8927,7665,5946
공릉로58가길,17689,9327,8362,1874,3716,2781,3213,3523,2582
공릉로59나길,42254,21971,20283,6547,10302,5824,6787,7390,5405
공릉로65길,45443,23855,21588,7169,11393,6050,7123,7950,5759
공항대로41길,45453,21895,23558,3989,8775,8913,8162,8247,7366
공항대로42길,8664,4595,4069,608,1183,2144,1972,1525,1233
공항대로45길,54092,29645,24448,1481,13579,13617,9626,9380,6410
공항대로55길,15968,8011,7958,300,4499,4605,2772,2204,1589
공항대로61길,64681,33463,31218,2442,15274,15621,11958,10986,8400
공항대로7길,38211,20989,17223,3011,8177,7616,7049,6929,5430
관악로11길,59961,30972,28989,1797,24802,12286,8176,7532,5367
관악로14길,82803,42325,40478,5207,38937,15634,9017,7898,6111
관악로24길,24577,11364,13213,1412,5093,4924,4312,4085,4751
관악로28길,28948,13716,15232,1504,6513,6158,4751,4823,5199
관천로11길,74517,39108,35409,1288,23188,16580,10369,13452,9640
광나루로11길,78596,44126,34471,898,25700,16510,14571,12590,8328
광나루로12길,33337,18040,15298,1074,15372,6517,4875,3744,1755
광나루로56길,1463,668,795,155,257,226,360,272,193
광성로4길,11668,6613,5055,1722,6415,1262,1075,798,395
광운로2길,13828,8765,5063,2588,6454,1458,1229,975,1123
광운로3길,103440,69084,34356,29724,49507,6486,7114,6777,3831
광평로19길,1304,660,644,67,142,324,235,237,298
구로동로28길,67233,33392,33842,678,10018,12698,13964,15757,14120
구로동로29길,65455,34317,31138,208,9261,13005,14653,15844,12484
구로동로35길,29154,15850,13303,421,5114,5925,6493,6351,4850
구로동로42길,25356,12893,12462,643,4796,5361,5302,4794,4461
구로중앙로19길,37484,21518,15966,48,7881,8062,7766,8510,5217
구로중앙로28길,76346,39871,36475,2295,14981,15904,15161,16188,11817
구로중앙로7길,19402,10234,9168,739,2921,3946,4220,4241,3335
구로중앙로8길,53643,28154,25489,1385,8468,11043,10442,12844,9462
구일로10길,12002,6069,5933,1678,2462,2961,2029,1813,1060
국제금융로7길,8797,4625,4172,1149,1475,1900,1568,1334,1371
국회단지길,95642,50550,45092,6633,20719,20174,15998,15897,16220
금낭화로23길,3188,1562,1625,158,610,661,638,588,532
금하로24길,16046,8269,7777,1555,2559,2750,3109,3303,2770
금호로1길,16854,8087,8767,1351,2493,3932,2706,2946,3425
금호산2길,66349,32711,33638,4537,11683,13584,11099,12246,13199
길음로13길,15507,6549,8958,1913,1774,3579,3991,2019,2232
길음로7길,32529,14620,17908,2916,6314,5877,5686,5696,6039
까치산로10길,16029,7089,8940,1719,2371,4092,3636,2697,1514
낙성대역10길,25832,13003,12829,1191,9517,5798,3421,2659,3246
낙성대역3길,63728,33163,30564,3254,25997,14553,7987,6528,5409
난계로29길,132725,72701,60025,4175,24899,23759,23092,28833,27968
난계로30길,12878,7243,5635,286,2570,3019,2508,2349,2146
난곡로26길,15553,9135,6417,457,3493,2946,2669,3744,2244
난곡로30길,24685,13397,11289,967,5732,4788,4308,5960,2930
난곡로34길,74621,38870,35751,6355,14941,13562,12794,15894,11075
난곡로35길,77016,40282,36734,5923,16150,14494,13105,16771,10572
난곡로63길,24252,12541,11711,1003,5851,5112,3910,4818,3559
난곡로66길,56304,30664,25640,3212,15857,11382,9138,9458,7257
난곡로78길,61513,30204,31309,1359,19949,13699,9635,9383,7488
난우길,82972,41905,41066,8954,14862,14402,14800,16588,13365
난향2길,7637,4223,3413,635,1064,1418,1681,1278,1562
난향길,10363,5697,4666,825,1356,1798,2452,1653,2278
남부순환로124길,19809,10224,9586,329,4108,4403,3490,4253,3227
남부순환로144길,32986,15719,17267,1686,8661,6946,5537,5384,4771
남부순환로145길,23479,12765,10714,889,6447,4850,4111,3932,3250
남부순환로151길,53815,27956,25859,2687,14761,11093,8605,9244,7426
남부순환로153길,39031,19722,19309,1804,10542,8112,6209,6841,5524
