상권코드명,총직장인구수,남성직장인구수,여성직장인구수,연령대10직장인구수,연령대20직장인구수,연령대30직장인구수,연령대40직장인구수,연령대50직장인구수,연령대60이상직장인구수
가락로16길,844,488,356,2,62,117,143,189,331
가락로28길,156,69,87,0,16,32,52,43,13
가락로36길,347,203,144,5,45,68,80,88,61
가로공원로76길,222,111,111,9,31,49,54,47,32
가마산로61길,39,30,9,0,4,9,6,14,6
가마산로88길,236,131,105,2,25,47,52,60,50
가마산로89길,148,77,71,0,7,11,22,39,69
가산로3길,2402,1900,502,14,319,553,651,611,254
가산로5길,539,389,150,7,71,137,164,109,51
가재울로14길,56,35,21,0,5,11,18,17,5
가재울로4길,54,37,17,0,6,9,20,9,10
가재울로6길,66,28,38,0,8,11,20,12,15
가좌로6길,136,76,60,1,6,18,36,52,23
가좌로7길,184,109,75,0,19,54,46,41,24
가좌로7다길,49,24,25,0,3,17,16,11,2
가좌로9길,106,42,64,1,16,15,38,20,16
갈현로1길,77,22,55,0,8,13,14,21,21
갈현로23길,63,17,46,0,6,8,14,12,23
갈현로29길,94,37,57,0,5,16,34,19,20
갈현로33길,82,30,52,0,18,15,32,16,1
갈현로3길,83,38,45,2,18,17,21,20,5
갈현로41길,102,33,69,0,11,19,26,33,13
갈현로4길,176,78,98,0,28,37,55,33,23
강남대로107길,713,501,212,23,181,252,158,67,32
강남대로83길,39,26,13,1,4,11,13,5,5
강남대로89길,121,87,34,0,9,18,16,20,58
강남대로8길,3466,1957,1509,4,416,791,932,760,563
강동대로9길,222,90,132,4,33,56,54,41,34
강서로17다길,232,94,138,0,33,49,57,65,28
강서로18길,117,37,80,0,11,21,43,29,13
강서로18다길,44,11,33,0,1,7,22,13,1
강서로39길,128,50,78,1,16,16,32,34,29
강서로45길,256,107,149,1,33,47,75,66,34
강서로47가길,631,150,481,1,144,211,152,100,23
강서로47길,211,86,125,0,27,50,72,43,19
강서로48길,112,59,53,0,12,25,24,37,14
강서로74길,3220,1402,1818,33,329,491,696,1250,421
강서로8길,138,58,80,0,17,38,39,28,16
개봉로2길,3289,1827,1462,1,62,75,146,410,2595
개봉로3길,281,121,160,0,41,41,104,64,31
개포로109길,11545,9262,2283,115,3872,3699,1965,1366,528
개포로82길,103,48,55,2,11,16,26,36,12
거북골로16길,39,23,16,0,2,9,15,7,6
거북골로20길,188,99,89,2,13,32,59,57,25
경기대로9길,598,306,292,2,108,163,142,113,70
경인로22길,21,12,9,0,0,9,2,4,6
경인로35길,225,55,170,0,22,47,71,69,16
