지역구분,상권코드명
종로구,자하문로
종로구,창의문로
종로구,자하문로26길
종로구,자하문로28가길
종로구,자하문로28길
종로구,자하문로30길
종로구,자하문로33가길
종로구,자하문로33길
종로구,자하문로33나길
종로구,자하문로33다길
종로구,자하문로35길
종로구,자하문로36길
종로구,창의문로1길
종로구,필운대로
종로구,옥인5길
종로구,자하문로21길
종로구,자하문로23길
종로구,필운대로10길
종로구,필운대로11길
종로구,필운대로13길
종로구,효자로
종로구,자하문로24길
종로구,자하문로16길
종로구,효자로13길
종로구,자하문로10길
종로구,자하문로12길
종로구,자하문로14길
종로구,효자로9길
종로구,자하문로2길
종로구,자하문로4길
종로구,자하문로6길
종로구,자하문로8길
종로구,효자로7길
종로구,사직로
종로구,새문안로5가길
종로구,새문안로5길
종로구,자하문로11길
종로구,자하문로13길
종로구,자하문로15길
종로구,자하문로17길
종로구,자하문로7길
종로구,자하문로9길
종로구,필운대로6길
종로구,옥인2길
종로구,옥인3길
종로구,옥인6가길
종로구,옥인6길
종로구,옥인길
종로구,필운대로5가길
종로구,필운대로5나길
종로구,필운대로5다길
종로구,필운대로2길
종로구,필운대로3길
종로구,필운대로5길
종로구,옥인1길
종로구,옥인4길
종로구,자하문로19길
종로구,필운대로7길
종로구,필운대로9가길
종로구,필운대로9길
종로구,필운대로9나길
종로구,자하문로1가길
종로구,자하문로1길
종로구,자하문로1나길
종로구,자하문로1다길
종로구,자하문로1라길
종로구,자하문로5가길
종로구,자하문로5길
종로구,사직로10길
종로구,사직로8길
종로구,사직로9가길
종로구,사직로9길
종로구,필운대로1길
종로구,사직로12길
종로구,인왕산로
종로구,경희궁3가길
종로구,경희궁3길
종로구,경희궁3나길
종로구,경희궁길
종로구,사직로5길
종로구,사직로6길
종로구,사직로7길
종로구,송월1길
종로구,인왕산로1길
종로구,새문안로9길
종로구,세종대로23길
종로구,새문안로
종로구,새문안로3길
종로구,새문안로7길
종로구,경희궁2길
종로구,세종대로
종로구,삼청로
종로구,청와대로
종로구,종로1길
종로구,새문안로2길
종로구,세종대로21길
종로구,경희궁1가길
종로구,경희궁1길
종로구,송월길
종로구,삼봉로
종로구,종로
종로구,종로3길
종로구,종로5길
종로구,종로7길
종로구,무교로
종로구,청계천로
종로구,우정국로
종로구,율곡로
종로구,율곡로2길
종로구,율곡로4길
종로구,인사동5길
종로구,종로9길
종로구,인사동10길
종로구,인사동11길
종로구,인사동12길
종로구,인사동14길
종로구,인사동16길
종로구,인사동6길
종로구,인사동7길
종로구,인사동8길
종로구,인사동9길
종로구,인사동길
종로구,창경궁로
종로구,돈화문로
종로구,돈화문로11가길
종로구,삼일대로30길
종로구,성균관로5길
종로구,율곡로10길
종로구,율곡로8길
종로구,창덕궁길
종로구,서순라길
종로구,삼일대로
종로구,삼일대로32길
종로구,율곡로6길
종로구,돈화문로11나길
종로구,돈화문로11다길
종로구,삼일대로32가길
종로구,수표로28길
종로구,인사동4길
종로구,삼일대로15길
종로구,삼일대로17길
종로구,삼일대로19길
종로구,삼일대로20길
종로구,우정국로2길
종로구,종로10길
종로구,종로12길
종로구,종로14길
종로구,종로16길
종로구,종로8길
종로구,인사동1길
종로구,인사동3길
종로구,종로11길
종로구,수표로
종로구,돈화문로11길
종로구,돈화문로5길
종로구,돈화문로9길
종로구,삼일대로26길
종로구,삼일대로28길
종로구,수표로22길
종로구,수표로26길
종로구,종로17길
종로구,삼청로5길
종로구,삼청로7가길
종로구,삼청로7길
종로구,삼청로7나길
종로구,팔판길
종로구,북촌로
종로구,북촌로11길
종로구,북촌로11나길
종로구,북촌로11다길
종로구,북촌로11라길
종로구,북촌로15길
종로구,북촌로5나길
종로구,삼청로10길
종로구,삼청로11길
종로구,삼청로4길
종로구,삼청로9길
종로구,와룡공원길
종로구,북촌로1길
종로구,북촌로5길
종로구,윤보선길
종로구,율곡로3길
종로구,율곡로5길
종로구,북촌로5가길
종로구,삼청로2길
종로구,율곡로1길
종로구,북촌로11가길
종로구,북촌로12길
종로구,북촌로4길
종로구,북촌로6길
종로구,북촌로7길
종로구,북촌로8길
종로구,북촌로9길
종로구,계동길
종로구,북촌로2길
종로구,계동2길
종로구,계동4길
종로구,계동6길
종로구,창덕궁1가길
종로구,창덕궁1길
종로구,창덕궁3나길
종로구,창덕궁4길
종로구,창덕궁7길
종로구,창덕궁3가길
종로구,창덕궁3길
종로구,창덕궁5길
종로구,돈화문로10길
종로구,돈화문로5가길
종로구,돈화문로6가길
종로구,돈화문로8길
종로구,돈화문로10가길
종로구,돈화문로6길
종로구,돈화문로6나길
종로구,돈화문로9가길
종로구,돈화문로2길
종로구,돈화문로4길
종로구,종로20길
종로구,종로22길
종로구,종로24길
종로구,종로26길
종로구,종로28가길
종로구,종로28길
종로구,창경궁로11길
종로구,수표로18가길
종로구,수표로18길
종로구,수표로20길
종로구,종로18길
종로구,김상옥로
종로구,동순라길
종로구,종로31길
종로구,창경궁로16길
종로구,종로30길
종로구,종로32길
종로구,창경궁로12길
종로구,창경궁로13길
종로구,창경궁로16나길
종로구,창경궁로18길
종로구,창경궁로20길
종로구,창경궁로21가길
종로구,창경궁로21길
종로구,창경궁로22길
종로구,대학로
종로구,대학로1길
종로구,대학로3길
종로구,종로31가길
종로구,종로33길
종로구,창경궁로16가길
종로구,대학로2길
종로구,율곡로14길
종로구,종로35가길
종로구,종로35길
종로구,종로39길
종로구,동호로
종로구,동호로38길
종로구,종로34길
종로구,종로36가길
종로구,종로36길
종로구,종로36나길
종로구,종로38길
종로구,종로40가길
종로구,종로40길
종로구,종로40나길
종로구,낙산성곽서길
종로구,율곡로29길
종로구,율곡로30길
종로구,종로39가길
종로구,종로41가길
종로구,종로41길
종로구,종로41나길
종로구,종로43길
종로구,충신1길
종로구,충신길
종로구,낙산4길
종로구,낙산성곽서1길
종로구,율곡로16길
종로구,율곡로17길
종로구,율곡로19길
종로구,율곡로23길
종로구,이화장1가길
종로구,이화장1길
종로구,이화장1나길
종로구,이화장2길
종로구,이화장길
종로구,충신4나길
종로구,충신6길
종로구,대학로5가길
종로구,대학로5길
종로구,대학로7길
종로구,율곡로13가길
종로구,율곡로13길
종로구,율곡로19가길
종로구,율곡로20길
종로구,율곡로22가길
종로구,율곡로22길
종로구,율곡로22나길
종로구,율곡로23가길
종로구,율곡로25길
종로구,율곡로27길
종로구,충신2길
종로구,충신4가길
종로구,충신4길
종로구,낙산1길
종로구,낙산2길
종로구,낙산3길
종로구,낙산길
종로구,대학로10길
종로구,대학로12길
종로구,대학로8가길
종로구,대학로8길
종로구,동숭1길
종로구,동숭2길
종로구,동숭3길
종로구,동숭4가길
종로구,동숭4길
종로구,동숭4나길
종로구,동숭4다길
종로구,동숭4라길
종로구,동숭길
종로구,성균관로
종로구,혜화로
종로구,대학로14길
종로구,창경궁로34길
종로구,창경궁로35가길
종로구,창경궁로35길
종로구,창경궁로35나길
종로구,혜화로10길
종로구,혜화로12길
종로구,혜화로14길
종로구,혜화로16길
종로구,혜화로2길
종로구,혜화로6가길
종로구,혜화로6길
종로구,혜화로8길
종로구,명륜7길
종로구,명륜길
종로구,성균관로10길
종로구,성균관로13길
종로구,성균관로14길
종로구,성균관로15가길
종로구,성균관로15길
종로구,성균관로15나길
종로구,성균관로16길
종로구,성균관로17길
종로구,성균관로9길
종로구,혜화로11가길
종로구,혜화로11길
종로구,혜화로3가길
종로구,혜화로3길
종로구,혜화로5길
종로구,혜화로9길
종로구,대명길
종로구,성균관로4길
종로구,성균관로6길
종로구,창경궁로29길
종로구,창경궁로31길
종로구,창경궁로33길
종로구,대명1길
종로구,대학로11길
종로구,대학로9가길
종로구,대학로9길
종로구,창경궁로26길
종로구,창경궁로27길
종로구,명륜10길
종로구,명륜1길
종로구,명륜2길
종로구,명륜3길
종로구,명륜4가길
종로구,명륜4길
종로구,명륜4나길
종로구,명륜5길
종로구,명륜6길
종로구,명륜8길
종로구,명륜9길
종로구,성균관로1길
종로구,성균관로3길
종로구,성균관로5가길
종로구,성균관로7길
종로구,지봉로
종로구,낙산5길
종로구,낙산성곽1길
종로구,낙산성곽길
종로구,낙산성곽동길
종로구,동망산길
종로구,종로44길
종로구,종로46가길
종로구,종로46길
종로구,종로48길
종로구,종로50가길
종로구,종로50길
종로구,종로50나길
종로구,종로50다길
종로구,종로50라길
종로구,종로51가길
종로구,종로51길
종로구,종로51나길
종로구,종로52길
종로구,종로53길
종로구,종로54길
종로구,지봉로11길
종로구,지봉로13가길
종로구,지봉로13길
종로구,지봉로17길
종로구,지봉로2길
종로구,지봉로4가길
종로구,지봉로4길
종로구,지봉로5길
종로구,지봉로7길
종로구,창신10가길
종로구,창신10길
종로구,창신11길
종로구,창신12길
종로구,창신1길
종로구,창신2길
종로구,창신3길
종로구,창신4가길
종로구,창신4길
종로구,창신4나길
종로구,창신5가길
종로구,창신5길
종로구,창신5나길
종로구,창신5다길
종로구,창신5라길
종로구,창신5마길
종로구,창신6가길
종로구,창신6길
종로구,창신6나길
종로구,창신6다길
종로구,창신7가길
종로구,창신7길
종로구,창신8길
종로구,창신9길
종로구,창신길
종로구,보문로
종로구,난계로
종로구,난계로25길
종로구,난계로27길
종로구,난계로29가길
종로구,난계로29길
종로구,동망산1길
종로구,보문로1길
종로구,보문로3길
종로구,보문로5길
종로구,보문로7길
종로구,보문로9길
종로구,숭인동1가길
종로구,숭인동1길
종로구,숭인동1나길
종로구,숭인동1다길
종로구,숭인동2길
종로구,숭인동길
종로구,종로56길
종로구,종로57길
종로구,종로58가길
종로구,종로58길
종로구,종로60길
종로구,종로62길
종로구,종로63가길
종로구,종로63길
종로구,종로63나길
종로구,종로63다길
종로구,종로63라길
종로구,종로63마길
종로구,종로65가길
종로구,종로65길
종로구,종로66가길
종로구,종로66길
종로구,종로67길
종로구,지봉로10길
종로구,지봉로12가길
종로구,지봉로12길
종로구,지봉로12나길
종로구,지봉로14길
종로구,지봉로16길
종로구,지봉로8길
종로구,통일로
종로구,경교장1길
종로구,경교장길
종로구,통일로8길
종로구,통일로12길
종로구,사직로1가길
종로구,사직로1길
종로구,사직로1나길
종로구,사직로1다길
종로구,사직로1라길
종로구,사직로1마길
종로구,사직로2길
종로구,인왕산로1가길
종로구,진흥로
종로구,비봉1길
종로구,비봉2길
종로구,비봉4길
종로구,비봉5길
종로구,비봉길
종로구,세검정로7나길
종로구,세검정로9길
종로구,진흥로21길
종로구,진흥로22가길
종로구,진흥로22길
종로구,진흥로22나길
종로구,진흥로23길
종로구,진흥로25길
종로구,평창4길
종로구,평창길
종로구,홍지문길
종로구,북악산로
종로구,평창문화로
종로구,세검정로6다길
종로구,평창10길
종로구,평창11길
종로구,평창12길
종로구,평창13길
종로구,평창14길
종로구,평창15길
종로구,평창16길
종로구,평창17길
종로구,평창1길
종로구,평창20길
종로구,평창21길
종로구,평창22길
종로구,평창23길
