"gu","totalProfit","maleProfit","femaleProfit","profit_10","profit_20","profit_30","profit_40","profit_50","profit_60","totalLivingPeople","maleLivingPeople","femaleLivingPeople","LivingPeople_10","LivingPeople_20","LivingPeople_30","LivingPeople_40","LivingPeople_50","LivingPeople_60","totalWorkingPeople","maleWorkingPeople","femaleWorkingPeople","WorkingPeople_10","WorkingPeople_20","WorkingPeople_30","WorkingPeople_40","WorkingPeople_50","WorkingPeople_60","totalMovingPeople","maleMovingPeople","femaleMovingPeople","MovingPeople_10","MovingPeople_20","MovingPeople_30","MovingPeople_40","MovingPeople_50","MovingPeople_60"
"강남구",5849959.59477632,2101190.68215789,2633725.8743421,88435.2186721053,1080881.92370263,1323327.44105921,1255321.35841184,636815.267523684,350135.449840789,26152,12456,13696,4374,3982,4193,4800,4144,4659,27345,17825,9520,266,6756,8107,5767,4170,2279,695552,356710,338843,54346,151841,160361,140535,104855,83614
"강동구",3559231.92998611,1449518.39630556,1839202.35236111,77945.5313073611,975012.855672222,944513.623,677531.219226389,436969.268148611,176748.314667639,48171,24036,24135,6840,6837,8633,7644,8165,10052,10474,6002,4472,36,1321,2180,2505,2205,2227,1454927,737479,717449,95421,304592,301427,265750,270227,217509
"강북구",3660079.78364368,1482290.66175275,2008115.48104588,106681.901045008,1076095.61664863,927465.551135165,682524.537494313,494753.888833242,202884.767985604,194210,95232,98978,24192,28198,28354,30726,33454,49285,20310,10597,9713,72,2293,3686,5478,5519,3260,5734340,2742893,2991439,406189,1327488,990408,988293,1087480,934472
"강서구",4446160.00935326,1591471.51748913,2234757.92774457,133543.51440538,1060597.39291902,1124970.45883098,867343.746554348,458998.438863043,180776.013882826,148298,71929,76369,23624,21583,28804,24181,21849,28257,21481,9469,12012,111,2519,4280,5998,6050,2523,2615149,1266889,1348256,212975,560834,590631,467111,419976,363620
"관악구",3902572.22717713,1668716.4968296,1995248.33645067,74725.4737869821,1287835.81074103,1108721.30773767,641022.331109193,385778.82655426,165881.188543812,268607,137153,131453,28363,60526,53339,38262,36074,52041,28450,14881,13569,78,3830,6802,7388,6487,3865,7547777,3991894,3555878,423520,2679061,1522219,1024167,1016062,882748
"광진구",3723924.83761667,1455781.264555,1936365.756145,68722.7502027833,1068431.52322833,883749.277695,734792.245706666,457100.801773333,179350.510758333,26826,13122,13704,3860,4407,4732,4385,4367,5075,6106,3189,2917,21,1140,1555,1473,1065,852,933656,466316,467341,53215,270070,190061,148414,156142,115754
"구로구",5320049.92765,2274802.80397938,2541805.3275625,125320.93374825,1510702.8750125,1408632.710685,972172.075684375,589129.537856875,210650.172705812,80904,40506,40398,11185,10693,12459,13003,13786,19778,33052,18303,14749,91,5794,8405,6525,4485,7752,2223440,1201824,1021620,120634,491352,465325,412479,406438,327222
"금천구",2965047.177225,1301888.81444583,1398480.13264,57671.8620835417,752850.079440833,725105.574439583,623051.113188333,417937.707220833,123752.788334,129516,66826,62690,16220,20610,21138,20368,23209,27971,21934,14046,7888,87,2535,4178,5638,5338,4158,1720534,933999,786542,59718,369742,364302,313008,359960,253804
"노원구",4859887.44712376,2002382.74895594,2648843.44171782,197760.400244787,1694612.51993416,949696.848105941,965230.094895049,640731.850045545,203194.566276584,58424,29186,29238,8735,9780,8165,9198,9613,12932,10707,5242,5465,43,1207,1786,2719,3013,1939,2069385,1086136,983252,201650,530863,328118,342522,367305,298926
"도봉구",4295890.04302885,1725218.13953269,2408455.94335577,124196.655763269,1241983.3688125,1073478.73468846,878137.550781731,585986.242317308,229891.634350577,61110,30400,30710,8398,8438,8507,10004,10684,15079,7915,3747,4168,67,1112,1435,2071,1960,1270,1200297,595382,604915,68803,244220,206636,220176,247674,212792
