gu,profit_10,profit_20,profit_30,profit_40,profit_50,profit_60
강남구,17258354,214374542.5,218300134.5,185180344.5,93142924,56184001.5
강동구,21735653,224057853.5,213304106.5,156983016.5,98672207,39678303.5
강북구,65105368,562253075,429370819,336840565,281615139,110694592.5
강서구,64117249,486959919.5,507369505,401966782,212482574,83271344
관악구,88300438,1321827999,1014453516,551754497.5,334706792,146040490
광진구,6425432,101229960.5,89350294,78254191,51051784,19690468
구로구,51895227,680377358,587298856,344026350.5,190699507,71777899
금천구,15154816,202882981,198342291.5,162676442,109046251,34080997.5
노원구,66618670,651860051,352925857.5,346853507,228272119,74524659.5
도봉구,33644415,301020340.5,239509964.5,191593885.5,130923826,52118997
동대문구,171285019,1596116375,685478774.5,446036774,294698375,94647395.5
동작구,12340218,175278775.5,142259930.5,96349800.5,65000653,27097996
마포구,137557243,2540426820,1653099876,896862889,452224647,133781129
서대문구,144918247,1417356353,732371496,542099614.5,369656194,157011575.5
서초구,50896372,914520190.5,993156001.5,661883827,346366866,188704299
성동구,143131693,1895408139,1304086253,826107725,503375991,193473483.5
성북구,215909422,1973970945,900101566.5,665035503.5,492560760,173175733.5
송파구,62652560,919900160.5,702284801.5,485091442,293116297,145342917
양천구,24147454,232421916.5,236257319.5,190679620.5,118570861,40194549
영등포구,34250831,700958223.5,660903608,433158235.5,246206719,83167873.5
용산구,180323861,2442066721,1524836111,811915656.5,461169581,150029430
은평구,55333996,605085253.5,556349036,490807520,283844508,123340795.5
종로구,160906387,2266917572,1677465055,1265949508,795367255,332741772
중구,76604393,778985138.5,812811912,554682303,345289690,156827516
중랑구,25785193,362309795.5,307157495.5,221991990.5,135349956,52652208.5
