gu,LivingPeople_10,LivingPeople_20,LivingPeople_30,LivingPeople_40,LivingPeople_50,LivingPeople_60
강남구,4374,3982,4193,4800,4144,4659
강동구,6840,6837,8633,7644,8165,10052
강북구,24192,28198,28354,30726,33454,49285
강서구,23624,21583,28804,24181,21849,28257
관악구,28363,60526,53339,38262,36074,52041
광진구,3860,4407,4732,4385,4367,5075
구로구,11185,10693,12459,13003,13786,19778
금천구,16220,20610,21138,20368,23209,27971
노원구,8735,9780,8165,9198,9613,12932
도봉구,8398,8438,8507,10004,10684,15079
동대문구,15605,23345,19799,19718,21445,31597
동작구,2480,4416,4393,3402,3406,5100
마포구,21195,30366,32650,27744,24777,36637
서대문구,16356,20899,17844,18997,18682,28475
서초구,17998,17615,22423,19914,16336,21057
성동구,20047,25565,25257,24521,26567,33798
성북구,18855,27833,22024,22681,22070,33997
송파구,20607,21816,28405,22920,21790,25485
양천구,7099,6069,5925,7224,7357,8581
영등포구,11567,15743,16688,15110,16038,22697
용산구,13608,17563,20241,18715,17918,28037
은평구,40685,36537,41928,44814,42589,60988
종로구,16896,18085,17595,20046,19640,28607
중구,6908,9899,9618,9966,10818,17293
중랑구,14548,16033,17767,17590,19729,24997
