gu,maleProfit,femaleProfit
강남구,341485989.5,442954292
강동구,328087305,426343816
강북구,731923675,1053955834
강서구,728640315,1027526996
관악구,1611436827.5,1845646837
광진구,152283387,193718732
구로구,992861567,933213594
금천구,337536126,384647607
노원구,736551713,984503119
도봉구,381298908.5,567512502
동대문구,1423562926.5,1864699739
동작구,236522776,281804575
마포구,2291434437,3522518019
서대문구,1315590303.5,2047823118
서초구,1402082871,1753444573
성동구,2128194304,2737388852
성북구,1703605471.5,2717148366
송파구,1102422820,1505965285
양천구,367930947,474340746
영등포구,952596678.5,1206048728
용산구,2147302111,3422979736
은평구,885451086.5,1229309950
종로구,2684056741,3815290628
중구,1203637608,1521501992
중랑구,490264506,614982098
